datetime,asset,low,high,open,close,volume_a,volume_v,volume_i
1587129180000,PETR4,15.68,15.75,15.75,15.71,150300,320700,2301800
1587129240000,PETR4,15.56,15.7,15.7,15.6,714400,542000,0
1587129300000,PETR4,15.56,15.64,15.6,15.63,562100,268700,0
1587129360000,PETR4,15.57,15.68,15.62,15.64,365600,503400,0
1587129420000,PETR4,15.64,15.82,15.64,15.79,639000,144800,0
1587129480000,PETR4,15.79,15.85,15.8,15.81,189200,332100,0
1587129540000,PETR4,15.81,15.81,15.81,15.81,300,0,0
1587130260000,PETR4,15.9,16.02,16.02,15.96,312800,301200,0
1587130320000,PETR4,15.91,15.97,15.96,15.93,155300,287200,0
1587130380000,PETR4,15.91,15.96,15.93,15.96,224300,104200,0
1587130440000,PETR4,15.94,16,15.96,15.96,279000,153800,0
1587130500000,PETR4,15.95,15.99,15.96,15.98,316900,80800,0
1587130560000,PETR4,15.87,15.98,15.98,15.91,266900,368400,0
1587130620000,PETR4,15.89,15.94,15.91,15.91,262600,210400,0
1587130680000,PETR4,15.85,15.92,15.9,15.89,296600,299700,0
1587130740000,PETR4,15.88,15.91,15.89,15.88,122800,97000,0
1587130800000,PETR4,15.87,15.91,15.88,15.89,75000,141900,0
1587130860000,PETR4,15.8,15.89,15.89,15.8,71500,508400,0
1587130920000,PETR4,15.78,15.84,15.8,15.83,166100,336300,0
1587130980000,PETR4,15.81,15.87,15.82,15.86,148800,121100,0
1587131040000,PETR4,15.84,15.92,15.85,15.92,205100,48600,0
1587131100000,PETR4,15.9,15.93,15.91,15.93,147700,55900,0
1587131160000,PETR4,15.9,15.93,15.93,15.91,94600,55200,2500
1587131220000,PETR4,15.9,15.93,15.91,15.93,58900,56100,0
1587131280000,PETR4,15.91,15.99,15.91,15.98,654100,103700,0
1587131340000,PETR4,15.94,15.98,15.98,15.94,70200,88000,0
1587131400000,PETR4,15.94,16,15.95,16,357400,90800,0
1587131460000,PETR4,15.95,16,15.99,15.97,239100,113700,0
1587131520000,PETR4,15.95,16.01,15.98,15.95,115200,145700,0
1587131580000,PETR4,15.94,15.98,15.95,15.96,36500,100900,0
1587131640000,PETR4,15.88,15.96,15.95,15.9,67400,336100,0
1587131700000,PETR4,15.89,15.94,15.9,15.92,100700,85700,0
1587131760000,PETR4,15.88,15.93,15.91,15.91,89700,149500,0
